nombre_superheroe,chin,left_eyebrow,right_eyebrow,nose_bridge,nose_tip,left_eye,right_eye,top_lip,bottom_lip
black_widow,"[(-8, 43), (-6, 67), (-3, 92), (2, 116), (11, 138), (27, 157), (45, 172), (64, 185), (85, 187), (104, 183), (119, 168), (132, 151), (144, 132), (152, 111), (156, 89), (158, 66), (159, 43)]","[(8, 34), (23, 29), (40, 29), (57, 33), (73, 38)]","[(101, 36), (115, 30), (130, 25), (145, 22), (157, 29)]","[(88, 50), (89, 66), (90, 83), (91, 99)]","[(72, 109), (81, 111), (89, 113), (97, 111), (105, 108)]","[(26, 49), (38, 43), (51, 43), (61, 53), (49, 56), (36, 56)]","[(109, 51), (119, 40), (132, 39), (141, 45), (134, 52), (121, 53)]","[(56, 139), (69, 133), (82, 129), (90, 131), (97, 128), (107, 132), (116, 137), (111, 138), (97, 139), (90, 140), (82, 139), (62, 140)]","[(116, 137), (107, 148), (97, 153), (90, 154), (81, 154), (69, 149), (56, 139), (62, 140), (81, 140), (89, 141), (97, 139), (111, 138)]"
black_widow,"[(-7, 47), (-5, 71), (-2, 96), (3, 119), (13, 141), (29, 159), (47, 174), (67, 186), (87, 188), (105, 184), (119, 170), (133, 154), (144, 135), (152, 114), (156, 91), (159, 68), (159, 46)]","[(9, 38), (24, 32), (41, 32), (57, 36), (73, 41)]","[(101, 39), (115, 33), (129, 28), (144, 26), (157, 32)]","[(88, 53), (89, 69), (90, 85), (91, 102)]","[(72, 112), (81, 114), (90, 116), (98, 114), (105, 111)]","[(27, 52), (38, 46), (51, 46), (61, 56), (50, 59), (37, 59)]","[(109, 54), (119, 44), (132, 42), (141, 47), (134, 55), (122, 56)]","[(58, 142), (70, 136), (82, 131), (89, 134), (97, 131), (107, 135), (116, 140), (111, 141), (97, 141), (90, 143), (82, 142), (64, 142)]","[(116, 140), (108, 150), (98, 156), (90, 157), (82, 157), (70, 152), (58, 142), (64, 142), (82, 143), (90, 143), (97, 142), (111, 141)]"
black_widow,"[(-5, 47), (-4, 71), (0, 95), (5, 118), (15, 140), (31, 159), (48, 174), (68, 186), (87, 188), (106, 184), (121, 170), (135, 154), (147, 135), (155, 114), (159, 91), (162, 68), (162, 46)]","[(11, 38), (26, 33), (43, 33), (59, 36), (75, 41)]","[(103, 39), (118, 33), (132, 28), (147, 26), (159, 33)]","[(90, 54), (91, 70), (92, 86), (93, 102)]","[(74, 113), (83, 115), (92, 117), (99, 114), (107, 112)]","[(29, 52), (40, 46), (54, 46), (64, 56), (52, 59), (39, 59)]","[(111, 54), (122, 44), (134, 42), (144, 48), (137, 55), (124, 56)]","[(60, 141), (72, 136), (84, 132), (91, 134), (98, 131), (109, 135), (119, 140), (114, 141), (99, 142), (92, 143), (84, 142), (65, 142)]","[(119, 140), (109, 151), (99, 156), (92, 157), (83, 157), (72, 152), (60, 141), (65, 142), (84, 143), (91, 144), (99, 142), (114, 141)]"
black_widow,"[(-5, 46), (-4, 70), (-1, 93), (4, 117), (14, 138), (29, 157), (47, 173), (65, 186), (85, 188), (104, 184), (119, 170), (133, 153), (145, 134), (154, 113), (158, 91), (161, 68), (161, 45)]","[(10, 38), (24, 32), (41, 32), (57, 36), (73, 40)]","[(101, 38), (116, 33), (130, 28), (145, 26), (158, 32)]","[(88, 54), (89, 70), (90, 86), (90, 102)]","[(72, 112), (81, 114), (90, 116), (98, 114), (105, 111)]","[(28, 52), (38, 46), (52, 46), (62, 56), (50, 59), (37, 59)]","[(110, 54), (120, 43), (133, 42), (142, 47), (135, 55), (122, 56)]","[(58, 141), (70, 136), (82, 131), (90, 134), (97, 131), (106, 135), (116, 140), (111, 141), (97, 142), (90, 143), (82, 142), (64, 142)]","[(116, 140), (107, 150), (98, 156), (90, 157), (81, 156), (70, 152), (58, 141), (64, 142), (82, 142), (90, 143), (97, 142), (111, 141)]"
black_widow,"[(-8, 43), (-7, 68), (-3, 92), (1, 116), (11, 138), (27, 157), (45, 172), (64, 185), (84, 188), (103, 184), (118, 169), (133, 152), (145, 133), (153, 111), (157, 89), (160, 66), (161, 43)]","[(8, 35), (23, 30), (40, 30), (56, 33), (73, 38)]","[(101, 36), (115, 30), (130, 25), (146, 23), (159, 30)]","[(87, 51), (88, 67), (89, 83), (90, 100)]","[(72, 110), (80, 112), (89, 114), (97, 112), (105, 109)]","[(26, 49), (37, 43), (51, 43), (62, 53), (49, 56), (36, 56)]","[(109, 51), (120, 41), (132, 40), (142, 45), (134, 53), (122, 53)]","[(56, 140), (69, 134), (81, 130), (89, 132), (96, 129), (106, 133), (116, 138), (111, 139), (96, 140), (89, 141), (81, 140), (62, 140)]","[(116, 138), (107, 149), (97, 154), (89, 156), (80, 155), (68, 150), (56, 140), (62, 140), (81, 141), (89, 142), (96, 141), (111, 139)]"
black_widow,"[(2, 57), (2, 80), (4, 103), (8, 124), (15, 145), (27, 164), (43, 179), (63, 187), (84, 190), (104, 190), (122, 183), (135, 169), (146, 152), (152, 131), (159, 111), (166, 90), (169, 68)]","[(22, 40), (37, 33), (54, 34), (70, 38), (85, 44)]","[(113, 44), (128, 39), (144, 37), (159, 38), (170, 45)]","[(98, 59), (98, 74), (98, 90), (98, 105)]","[(80, 117), (88, 120), (96, 122), (103, 120), (110, 119)]","[(38, 57), (49, 51), (62, 51), (72, 62), (60, 64), (47, 63)]","[(120, 63), (131, 54), (144, 54), (153, 61), (145, 67), (132, 67)]","[(63, 149), (75, 142), (88, 138), (95, 141), (103, 139), (113, 144), (122, 153), (117, 153), (102, 150), (94, 150), (87, 149), (69, 149)]","[(122, 153), (112, 163), (102, 167), (93, 167), (84, 166), (73, 161), (63, 149), (69, 149), (86, 151), (94, 152), (102, 152), (117, 153)]"
black_widow,"[(12, 97), (17, 113), (23, 129), (32, 144), (44, 156), (58, 164), (77, 170), (96, 173), (115, 172), (132, 168), (145, 160), (156, 150), (162, 135), (164, 117), (163, 99), (161, 82), (157, 65)]","[(27, 73), (34, 62), (46, 55), (61, 52), (75, 53)]","[(89, 47), (101, 39), (114, 36), (127, 38), (137, 45)]","[(85, 62), (88, 68), (91, 75), (94, 82)]","[(83, 103), (90, 103), (97, 102), (103, 99), (109, 96)]","[(43, 80), (51, 73), (59, 71), (68, 73), (61, 77), (52, 79)]","[(105, 64), (112, 58), (120, 57), (129, 59), (122, 63), (113, 64)]","[(79, 137), (86, 125), (95, 118), (101, 117), (106, 115), (117, 117), (129, 125), (124, 125), (107, 122), (102, 123), (96, 125), (84, 135)]","[(129, 125), (122, 133), (113, 137), (107, 139), (101, 140), (90, 140), (79, 137), (84, 135), (98, 131), (104, 130), (110, 129), (124, 125)]"
black_widow,"[(17, 132), (27, 165), (39, 198), (55, 230), (78, 257), (106, 277), (138, 294), (169, 305), (201, 302), (227, 288), (247, 263), (263, 233), (273, 201), (278, 166), (278, 131), (273, 96), (267, 61)]","[(40, 97), (51, 78), (71, 68), (94, 65), (116, 69)]","[(151, 55), (168, 39), (191, 30), (214, 27), (233, 38)]","[(140, 89), (146, 111), (152, 133), (158, 156)]","[(134, 177), (149, 179), (164, 180), (177, 171), (189, 162)]","[(68, 116), (81, 107), (96, 102), (112, 105), (99, 113), (84, 117)]","[(173, 86), (186, 76), (201, 72), (216, 72), (205, 81), (190, 85)]","[(127, 231), (141, 218), (157, 209), (170, 208), (181, 203), (201, 201), (222, 203), (214, 206), (184, 211), (173, 216), (161, 219), (135, 230)]","[(222, 203), (211, 229), (194, 244), (182, 249), (168, 252), (148, 248), (127, 231), (135, 230), (164, 235), (176, 233), (188, 228), (214, 206)]"
black_widow,"[(-5, 84), (1, 117), (10, 149), (22, 179), (40, 205), (65, 226), (93, 241), (124, 252), (152, 252), (174, 243), (190, 222), (202, 197), (210, 168), (215, 139), (218, 111), (219, 83), (216, 54)]","[(36, 53), (54, 41), (74, 34), (96, 32), (117, 35)]","[(151, 30), (165, 20), (182, 15), (198, 16), (209, 26)]","[(138, 57), (143, 79), (148, 101), (153, 123)]","[(124, 135), (137, 139), (150, 142), (159, 136), (166, 129)]","[(62, 69), (76, 62), (90, 59), (103, 66), (91, 70), (77, 72)]","[(158, 58), (171, 48), (184, 45), (194, 50), (186, 57), (173, 58)]","[(104, 179), (120, 163), (137, 156), (149, 157), (160, 153), (171, 157), (177, 168), (171, 168), (161, 164), (150, 166), (137, 167), (111, 178)]","[(177, 168), (173, 184), (164, 193), (152, 197), (139, 197), (121, 192), (104, 179), (111, 178), (138, 181), (151, 181), (162, 178), (171, 168)]"
black_widow,"[(18, 58), (19, 85), (24, 112), (30, 139), (41, 163), (57, 185), (77, 204), (103, 217), (128, 222), (151, 219), (168, 205), (181, 185), (190, 162), (197, 137), (202, 113), (206, 88), (206, 62)]","[(49, 37), (63, 25), (81, 21), (100, 21), (118, 26)]","[(147, 27), (162, 21), (178, 19), (193, 24), (202, 36)]","[(132, 48), (133, 67), (134, 86), (136, 105)]","[(110, 113), (121, 118), (132, 122), (142, 118), (150, 113)]","[(69, 51), (81, 46), (93, 46), (103, 53), (92, 55), (80, 54)]","[(152, 53), (164, 46), (176, 46), (184, 51), (176, 55), (164, 55)]","[(93, 152), (105, 140), (119, 136), (130, 139), (140, 136), (150, 141), (158, 153), (152, 153), (140, 145), (130, 146), (119, 145), (99, 152)]","[(158, 153), (151, 166), (141, 172), (131, 173), (119, 172), (105, 166), (93, 152), (99, 152), (120, 159), (131, 160), (141, 159), (152, 153)]"
